frame_id,t_ms,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf
0000,0,-0.04,0.20,3.19,3.03,0.04,0.33,0.85
0001,33,-0.03,0.20,3.16,3.00,0.03,0.34,0.84
0002,67,-0.03,0.20,3.10,2.94,0.03,0.35,0.82
0003,100,-0.03,0.20,3.10,2.94,0.03,0.35,0.81
0004,133,-0.02,0.20,3.07,2.91,0.02,0.36,0.84
0005,167,-0.01,0.20,3.09,2.93,0.01,0.35,0.86
0006,200,0.00,0.20,3.07,2.91,-0.00,0.36,0.86
0007,234,0.01,0.21,3.03,2.88,-0.01,0.37,0.85
0008,267,0.01,0.21,3.03,2.88,-0.01,0.37,0.85
0009,300,0.02,0.21,3.02,2.87,-0.02,0.37,0.78
0010,334,0.02,0.21,3.02,2.87,-0.02,0.37,0.80
0011,367,0.02,0.21,3.00,2.84,-0.02,0.37,0.85
0012,400,0.03,0.21,2.93,2.77,-0.03,0.39,0.84
0013,434,0.03,0.21,2.93,2.77,-0.03,0.39,0.84
0014,467,0.03,0.21,2.89,2.74,-0.03,0.40,0.79
0015,501,0.03,0.21,2.88,2.73,-0.03,0.40,0.79
0016,534,0.04,0.21,2.87,2.72,-0.04,0.40,0.79
0017,567,0.04,0.22,2.87,2.71,-0.04,0.40,0.84
0018,601,0.04,0.22,2.87,2.71,-0.04,0.40,0.83
0019,634,0.04,0.22,2.83,2.68,-0.04,0.41,0.83
0020,667,0.04,0.22,2.79,2.64,-0.04,0.42,0.81
0021,701,0.04,0.22,2.76,2.61,-0.04,0.42,0.80
0022,734,0.04,0.22,2.78,2.63,-0.04,0.42,0.83
0023,767,0.04,0.22,2.78,2.63,-0.04,0.42,0.83
0024,801,0.04,0.22,2.71,2.56,-0.04,0.43,0.82
0025,834,0.03,0.23,2.69,2.54,-0.03,0.44,0.82
0026,868,0.03,0.23,2.67,2.52,-0.03,0.44,0.82
0027,901,0.03,0.23,2.66,2.51,-0.03,0.44,0.84
0028,934,0.03,0.23,2.66,2.51,-0.03,0.44,0.84
0029,968,0.03,0.23,2.63,2.48,-0.03,0.44,0.84
0030,1001,0.03,0.23,2.59,2.44,-0.03,0.45,0.84
0031,1034,0.03,0.24,2.58,2.43,-0.03,0.45,0.85
0032,1068,0.02,0.24,2.56,2.42,-0.02,0.46,0.85
0033,1101,0.02,0.24,2.56,2.42,-0.02,0.46,0.85
0034,1134,0.02,0.24,2.55,2.40,-0.02,0.46,0.86
0035,1168,0.02,0.24,2.54,2.40,-0.02,0.46,0.85
0036,1201,0.02,0.24,2.54,2.39,-0.02,0.46,0.85
0037,1235,0.01,0.24,2.53,2.38,-0.01,0.46,0.84
0038,1268,0.02,0.24,2.52,2.38,-0.02,0.46,0.84
0039,1301,0.01,0.24,2.49,2.35,-0.01,0.47,0.79
0040,1335,0.02,0.23,2.45,2.30,-0.02,0.49,0.60
0046,1535,0.03,0.24,2.37,2.23,-0.03,0.51,0.65
0047,1568,0.03,0.24,2.36,2.22,-0.03,0.51,0.80
0048,1602,0.03,0.24,2.36,2.22,-0.03,0.51,0.80
0049,1635,0.03,0.24,2.36,2.22,-0.03,0.51,0.84
0050,1668,0.04,0.24,2.35,2.21,-0.04,0.51,0.86
0051,1702,0.04,0.24,2.34,2.20,-0.04,0.52,0.87
0052,1735,0.05,0.24,2.31,2.17,-0.05,0.52,0.88
0053,1768,0.05,0.24,2.31,2.17,-0.05,0.52,0.88
0054,1802,0.05,0.24,2.32,2.18,-0.05,0.52,0.88
0055,1835,0.05,0.24,2.31,2.17,-0.05,0.52,0.88
0056,1869,0.05,0.24,2.30,2.16,-0.05,0.53,0.87
0057,1902,0.06,0.24,2.30,2.16,-0.06,0.53,0.88
0058,1935,0.06,0.24,2.30,2.16,-0.06,0.53,0.88
0059,1969,0.06,0.24,2.28,2.14,-0.06,0.53,0.88
0060,2002,0.06,0.24,2.28,2.14,-0.06,0.53,0.88
0061,2035,0.06,0.24,2.28,2.14,-0.06,0.53,0.88
0062,2069,0.07,0.24,2.28,2.14,-0.07,0.53,0.88
0063,2102,0.07,0.24,2.28,2.14,-0.07,0.53,0.88
0064,2135,0.08,0.24,2.27,2.14,-0.08,0.53,0.88
0065,2169,0.08,0.24,2.28,2.15,-0.08,0.53,0.87
0066,2202,0.08,0.24,2.29,2.15,-0.08,0.53,0.87
0067,2236,0.07,0.24,2.30,2.16,-0.07,0.53,0.87
0068,2269,0.07,0.24,2.30,2.16,-0.07,0.53,0.87
0069,2302,0.07,0.24,2.31,2.17,-0.07,0.53,0.87
0070,2336,0.07,0.23,2.32,2.18,-0.07,0.52,0.87
0071,2369,0.07,0.23,2.33,2.19,-0.07,0.52,0.87
0072,2402,0.06,0.23,2.34,2.20,-0.06,0.52,0.87
0073,2436,0.06,0.23,2.34,2.20,-0.06,0.52,0.87
0074,2469,0.06,0.23,2.35,2.21,-0.06,0.52,0.87
0075,2502,0.06,0.23,2.37,2.23,-0.06,0.51,0.86
0076,2536,0.05,0.23,2.39,2.25,-0.05,0.51,0.86
0077,2569,0.05,0.23,2.40,2.26,-0.05,0.50,0.85
0078,2603,0.05,0.23,2.40,2.26,-0.05,0.50,0.85
0079,2636,0.04,0.23,2.41,2.27,-0.04,0.50,0.85
0080,2669,0.03,0.23,2.42,2.27,-0.03,0.50,0.84
0081,2703,0.02,0.23,2.43,2.29,-0.02,0.50,0.83
0082,2736,0.01,0.23,2.45,2.31,-0.01,0.49,0.81
0083,2769,0.01,0.23,2.45,2.31,-0.01,0.49,0.81
0084,2803,0.01,0.23,2.45,2.31,-0.01,0.49,0.79
0085,2836,-0.00,0.23,2.48,2.34,0.00,0.49,0.77
0086,2870,-0.01,0.23,2.51,2.36,0.01,0.48,0.77
0087,2903,-0.02,0.23,2.48,2.34,0.02,0.48,0.80
0088,2936,-0.02,0.23,2.48,2.34,0.02,0.48,0.80
0089,2970,-0.03,0.23,2.48,2.34,0.03,0.48,0.81
0090,3003,-0.04,0.23,2.52,2.38,0.04,0.47,0.81
0091,3036,-0.06,0.23,2.53,2.38,0.06,0.47,0.82
0092,3070,-0.07,0.23,2.55,2.40,0.07,0.47,0.81
0093,3103,-0.07,0.23,2.55,2.40,0.07,0.47,0.81
0094,3136,-0.09,0.22,2.58,2.44,0.09,0.46,0.81
0095,3170,-0.10,0.22,2.59,2.44,0.10,0.46,0.82
0096,3203,-0.11,0.22,2.60,2.45,0.11,0.46,0.82
0097,3237,-0.12,0.22,2.60,2.46,0.12,0.46,0.81
0098,3270,-0.12,0.22,2.60,2.46,0.12,0.46,0.81
0099,3303,-0.13,0.22,2.62,2.47,0.13,0.46,0.78
0100,3337,-0.14,0.22,2.63,2.48,0.14,0.46,0.79
0101,3370,-0.16,0.22,2.62,2.47,0.16,0.46,0.75
0102,3403,-0.17,0.22,2.66,2.51,0.17,0.45,0.72
0103,3437,-0.17,0.22,2.66,2.51,0.17,0.45,0.72
0104,3470,-0.18,0.22,2.68,2.53,0.18,0.44,0.65
0105,3504,-0.20,0.22,2.68,2.54,0.20,0.44,0.54
0109,3637,-0.26,0.22,2.77,2.62,0.26,0.42,0.57
0110,3670,-0.27,0.22,2.80,2.64,0.27,0.41,0.57
0115,3837,-0.35,0.22,3.06,2.90,0.35,0.35,0.53
0116,3871,-0.36,0.22,3.09,2.93,0.36,0.34,0.70
0117,3904,-0.38,0.22,3.11,2.95,0.38,0.33,0.77
0118,3937,-0.38,0.22,3.11,2.95,0.38,0.33,0.77
0119,3971,-0.40,0.22,3.12,2.96,0.40,0.33,0.79
0120,4004,-0.42,0.22,3.14,2.98,0.42,0.33,0.79
0121,4037,-0.44,0.21,3.16,3.00,0.44,0.33,0.77
0122,4071,-0.45,0.21,3.22,3.06,0.45,0.31,0.54
0123,4104,-0.45,0.21,3.22,3.06,0.45,0.31,0.52
0124,4137,-0.47,0.21,3.18,3.02,0.47,0.33,0.84
0125,4171,-0.49,0.21,3.20,3.04,0.49,0.32,0.86
0126,4204,-0.51,0.20,3.26,3.10,0.51,0.31,0.87
0127,4238,-0.53,0.20,3.32,3.15,0.53,0.30,0.85
0128,4271,-0.53,0.20,3.32,3.15,0.53,0.30,0.85
0129,4304,-0.57,0.20,3.37,3.21,0.57,0.29,0.85
0130,4338,-0.58,0.19,3.33,3.16,0.58,0.31,0.85
0131,4371,-0.60,0.19,3.38,3.22,0.60,0.29,0.85
0132,4404,-0.61,0.18,3.40,3.24,0.61,0.29,0.85
0133,4438,-0.62,0.18,3.41,3.25,0.62,0.29,0.85
0134,4471,-0.63,0.18,3.44,3.27,0.63,0.29,0.85
0135,4504,-0.64,0.18,3.46,3.30,0.64,0.28,0.86
0136,4538,-0.65,0.18,3.44,3.27,0.65,0.29,0.87
0137,4571,-0.67,0.18,3.45,3.28,0.67,0.29,0.88
0138,4605,-0.67,0.18,3.45,3.28,0.67,0.29,0.88
0139,4638,-0.69,0.18,3.44,3.28,0.69,0.29,0.71
0140,4671,-0.71,0.17,3.47,3.31,0.71,0.29,0.82
0141,4705,-0.72,0.17,3.45,3.29,0.72,0.29,0.82
0142,4738,-0.75,0.16,3.50,3.34,0.75,0.29,0.82
0143,4771,-0.75,0.16,3.50,3.34,0.75,0.29,0.82
0144,4805,-0.78,0.16,3.55,3.38,0.78,0.27,0.83
0145,4838,-0.79,0.17,3.53,3.37,0.79,0.28,0.84
0146,4872,-0.80,0.17,3.53,3.37,0.80,0.28,0.85
0147,4905,-0.83,0.16,3.61,3.44,0.83,0.26,0.85
0148,4938,-0.83,0.16,3.61,3.44,0.83,0.26,0.85
0149,4972,-0.86,0.16,3.69,3.52,0.86,0.24,0.86
0150,5005,-0.88,0.15,3.74,3.57,0.88,0.23,0.85
0151,5038,-0.89,0.15,3.77,3.60,0.89,0.23,0.84
0152,5072,-0.90,0.15,3.74,3.57,0.90,0.24,0.82
0153,5105,-0.90,0.15,3.74,3.57,0.90,0.24,0.82
0154,5138,-0.92,0.14,3.78,3.61,0.92,0.23,0.83
0155,5172,-0.95,0.14,3.84,3.67,0.95,0.22,0.84
0156,5205,-0.95,0.14,3.81,3.64,0.95,0.23,0.85
0157,5239,-0.96,0.14,3.82,3.65,0.96,0.22,0.85
0158,5272,-0.96,0.14,3.82,3.65,0.96,0.22,0.85
0159,5305,-0.97,0.14,3.80,3.64,0.97,0.23,0.85
0160,5339,-0.98,0.14,3.83,3.67,0.98,0.22,0.84
0161,5372,-0.98,0.14,3.83,3.67,0.98,0.22,0.83
0162,5405,-0.99,0.14,3.86,3.69,0.99,0.21,0.82
0163,5439,-0.99,0.14,3.86,3.69,0.99,0.21,0.82
0164,5472,-1.00,0.14,3.89,3.72,1.00,0.21,0.80
0165,5506,-1.02,0.14,3.95,3.78,1.02,0.19,0.78
0166,5539,-1.05,0.13,4.03,3.86,1.05,0.18,0.77
0167,5572,-1.05,0.14,4.02,3.84,1.05,0.18,0.76
